"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"1","Lucas, Michael W|Lucas, Michael W.|Lucas, Michael","SSH Mastery: OpenSSH, PuTTY, Tunnels and Keys","9781470069711","Createspace Independent Publishing Platform","2012-02-17","0","2,","work-computer,","0","","150","","","0","","","","","0","","","<span>Secure Shell (SSH) lets systems administrators securely manage remote systems. But most people only use the bare minimum SSH offers. Used properly, SSH simplifies your job and improves security.</span><br><br><span>This book saves you from sifting a decade of obsolete online tutorials and quickly gets you running:SSH with the OpenSSH server and the PuTTY and OpenSSH clients. You will:</span><br><br><span>* Eliminate passwords.</span><br><span>* Manage access to your SSH server by users, groups, addresses, and more</span><br><span>* Securely move files around your network</span><br><span>* Forward graphic displays from one host to another</span><br><span>* Forward TCP/IP connections??</span><br><span>* Centrally manage host keys and client configurations</span><br><span>* Use SSH as a secure transport for other applications</span><br><span>* Secure applications run over SSH</span><br><span>* Build Virtual Private Networks with OpenSSH</span><br><br><span>And more! This book quickly and painlessly simplifies life for anyone using SSH.</span>","Computers / System Administration / Linux & UNIX Administration","2012-12-07 00:26:35","0","0000-00-00","2012-12-31 04:28:16","e170bbba10d7c0f3a750feb21694bcc6",
"2","Polya, G.|POLYA, G AUTOR|P??lya, George","How to Solve It: a New Aspect Of Mathematical Method","9780691023564","Princeton University Press","1971","0","2,","work-computer,","0","","224","","","0","","","","","0","","","A perennial bestseller by eminent mathematician G. Polya, <I>How to Solve It</I> will show anyone in any field how to think straight.<P>In lucid and appealing prose, Polya reveals how the mathematical method of demonstrating a proof or finding an unknown can be of help in attacking any problem that can be ""reasoned"" out--from building a bridge to winning a game of anagrams. Generations of readers have relished Polya's deft--indeed, brilliant--instructions on stripping away irrelevancies and going straight to the heart of the problem.<P>","Mathematics / Study & Teaching","2012-12-07 00:29:14","0","0000-00-00","2012-12-22 02:40:50","ab1669227554980fbd6fb0157b1810a2",
"3","Schwartz, Randal L.|Christiansen, Tom|Wall, Larry","Programming Perl","9781565921498","O'reilly Media","1996-10-08","0","1,","computer,","0","","670","","","0","","","","","0","","","<DIV><p><i>Programming Perl, 2nd Edition</i> is the authoritative guide to Perl  version 5, the scripting utility that has established itself as the  programming tool of choice for the World Wide Web, UNIX system  administration, and a vast range of other applications.  Version 5 of  Perl includes object-oriented programming facilities.  The book is  coauthored by Larry Wall, the creator of Perl.</p><p>Perl is a language for easily manipulating text, files, and processes. It provides a more concise and readable way to do many jobs that were  formerly accomplished (with difficulty) by programming with C or one of the shells.  Perl is likely to be available wherever you choose to work. And if it isn't, you can get it and install it easily and free of charge.</p><p>This heavily revised second edition of <i>Programming Perl</i> contains a  full explanation of the features in Perl version 5.003.  Contents include:</p> <ul><li>An introduction to Perl</li> <li>Explanations of the language and its syntax</li> <li>Perl functions</li> <li>Perl library modules</li> <li>The use of references in Perl</li> <li>How to use Perl's object-oriented features</li> <li>Invocation options for Perl itself, and also for the utilities that come with Perl</li> <li>Other oddments:  debugging, common mistakes, efficiency, programming style, distribution and installation of Perl, Perl poetry, and so on.</li></ul></div>","Computers / Programming Languages / Perl","2012-12-07 01:49:44","0","0000-00-00","2012-12-22 02:40:51","20e3dc28759ae7c1cffa3bd196296de1",
"4","Flickenger, Rob","Building  Wireless Community Networks: Implementing the Wireless Web","9780596002046","O'reilly Media","2001-12-15","0","1,","computer,","0","","150","","","0","","","","","0","","","<DIV><p>In <i>Building Wireless Community Networks</i>, author and O'Reilly network  administrator Rob Flickenger offers a compelling case for building wireless  networks on a local level: They are inexpensive, and they can be implemented  and managed by the community using them, whether it's a school, a neighborhood,  or a small business. This nuts-and-bolts guide provides all the necessary  information for planning a network, getting the necessary components, and  understanding protocols that you need to design and implement your network.  The wireless Internet infrastructure, also known as Wi-Fi, is based on the  802.11b standard.</p><p>The book covers Rob's experience with the Sebastopol Community Network  (NoCAT), a multi-tiered network that provides wireless access for O'Reilly  employees and free Web browsing to anyone in the area who has a Wi-Fi card  in his or her computer. He describes his experience in using 802.11b,  selecting the appropriate equipment, finding antenna sites, and coping  with the general problems of outdoor networking.</p><p><i>Building Wireless Community Networks</i> starts off with basic  wireless concepts and essential network services, while later chapters  focus on specific aspects of building your own wireless networks. The  final chapter is a detailed journal of Rob's experiences in building his  first community network. He begins with his first attempts at using a  wireless card at a conference, covers the real-life experience of trying  something new, and ends with notes from the Portland Summit, a national  gathering of wireless aficionados.</p><p>If you want to join the grassroots effort to build freely available wireless  Internet infrastructures in your community, this book is invaluable.</p></div>","Technology & Engineering / Mobile & Wireless Communications","2012-12-07 01:50:10","0","0000-00-00","2012-12-22 02:40:52","4b7b680c901c625018f7b84275ed44ae",
"5","Meggelen, Jim Van|Smith, Jared|Madsen, Leif|Smith, Jared W","Asterisk: the Future Of Telephony","9780596009625","O'reilly Media","2005-09-23","0","1,","computer,","0","","408","","","0","","","","","0","","","<DIV><p>It may be a while before Internet telephony with VoIP (Voice over Internet Protocol) reaches critical mass, but there's already tremendous movement in that direction. A lot of organizations are not only attracted to VoIP's promise of cost savings, but its ability to move data, images, and voice traffic over the same connection. Think of it: a single Internet phone call can take information sharing to a whole new level.</p><p> That's why many IT administrators and developers are actively looking to set up VoIP-based private telephone switching systems within the enterprise. The efficiency that network users can reach with it is almost mind-boggling. And cheap, if the system is built with open source software like Asterisk. There are commercial VoIP options out there, but many are expensive systems running old, complicated code on obsolete hardware. Asterisk runs on Linux and can interoperate with almost all standards-based telephony equipment. And you can program it to your liking.</p><p> Asterisk's flexibility comes at a price, however: it's not a simple system to learn, and the documentation is lacking.  <i>Asterisk: The Future of Telephony</i> solves that problem by offering a complete roadmap for installing, configuring, and integrating Asterisk with existing phone systems. Our guide walks you through a basic dial plan step by step, and gives you enough working knowledge to set up a simple but complete system.</p><p> What you end up with is largely up to you. Asterisk embraces the concept of standards-compliance, but also gives you freedom to choose how to implement your system. <i>Asterisk: The Future of Telephony</i> outlines all the options, and shows you how to set up voicemail services, call conferencing, interactive voice response, call waiting, caller ID, and more. You'll also learn how Asterisk merges voice and data traffic seamlessly across disparate networks. And you won't need additional hardware.  For interconnection with digital and analog telephone equipment, Asterisk supports a number of hardware devices.</p><p> Ready for the future of telephony? We'll help you hook it up.</p></div>","Technology & Engineering / Telecommunications","2012-12-07 01:50:36","0","0000-00-00","2012-12-22 02:40:53","b0def9971a1d07847e278598238426fb",
"6","Singh, Simon","Code Book: the Science Of Secrecy From Ancient Egypt to Quantum Cryptography, The","9780385495325","Anchor","2000-08-29","0","1,","computer,","0","","432","","","0","","","","","0","","","In his first book since the bestselling <b>Fermat's Enigma</b>, Simon Singh offers the first sweeping history of encryption, tracing its evolution and revealing the dramatic effects codes have had on wars, nations, and individual lives. From Mary, Queen of Scots, trapped by her own code, to the Navajo Code Talkers who helped the Allies win World War II, to the incredible (and incredibly simple) logisitical breakthrough that made Internet commerce secure, <b>The Code Book</b> tells the story of the most powerful intellectual weapon ever known: secrecy.<br><br>Throughout the text are clear technical and mathematical explanations, and portraits of the remarkable personalities who wrote and broke the world's most difficult codes. Accessible, compelling, and remarkably far-reaching, this book will forever alter your view of history and what drives it.????It will also make yo wonder how private that e-mail you just sent really is.","Science / History","2012-12-07 01:57:37","0","0000-00-00","2012-12-22 02:40:54","45bd63a8e079907560dea5b56785b239",
"7","Stewart, Ian","Concepts Of Modern Mathematics","9780486284248","Dover Publications","1995-02-01","0","1,","computer,","0","","352","","","0","","","","","0","","","<DIV><DIV>In this charming volume, a noted English mathematician uses humor and anecdote to illuminate the concepts of groups, sets, subsets, topology, Boolean algebra, and other mathematical subjects. 200 illustrations.</DIV></DIV>","Science / General","2012-12-07 01:59:02","0","0000-00-00","2012-12-22 02:40:55","86b3633d459cf3ec4824ec314f2a946a",
"8","Liffick, Blaise W.","Programming Techniques: Numbers in Theory and Practice V. 3","0070378274","McGraw-hill Inc.,us","1980-01-01","0","1,","computer,","0","","184","","","0","","","","","0","","","To begin with; Floating point numbers; Computational methods; Randomizing; Graphics and mathematics.","Mathematics / Numerical Analysis","2012-12-07 01:59:52","0","0000-00-00","2012-12-22 02:40:56","31e0f1ed1bf260d06c9b489675ae1ab6",
"9","Kohanski, Daniel","Philosophical Programmer: Reflections On the Moth in the Machine, The","9780312186500","St Martins Pr","1998-06","0","1,","computer,","0","","234","","","0","","","","","0","","","Meditative and yet authoritative, <I>The Philosophical  Programmer</I> celebrates the creative possibilities of programming  while reminding the reader of technology's ethical conundrums. Daniel  Kohanski keeps this slim volume rooted in valid examples, providing a  rich exploration of the thought process involved in machine code. He  treats programming as a language, detailing its elegance and  efficiency from the earliest computer inventions to the present  day. Because of the book's clear, conversational tone, <I>The  Philosophical Programmer</I> can be read cover to cover by  nonprogrammers and still be fascinating to knowledgeable veterans. <p>  In the preface to <I>The Philosophical Programmer</I>, Kohanski  writes, ""In the last five years books have flooded the  marketplace describing in detail what some computer product does, or  how to write programs in some particular language. Yet there has been  very little discussion about what programming <I>is</I> and about the  meaning of programs for our lives."" Kohanski fills that void with  <I>The Philosophical Programmer</I>--a rich and engaging history  interwoven with well-constructed commentary. <I>--Jennifer  Buckendorff</I>","Computers / Programming / General","2012-12-07 02:00:34","0","0000-00-00","2012-12-31 04:25:05","35e5aaf451361904c534efac29a2b6b8",
"10","Beck, Kent|Fowler, Martin","Planning Extreme Programming","9780201710915","Addison-wesley Professional","2000-10-26","0","1,","computer,","0","","160","","","0","","","","","0","","","Planning is critical; without it, software projects can quickly fall apart. Written by acknowledged XP authorities Kent Beck and Martin Fowler, Planning Extreme Programming presents the approaches, methods, and advice needed to plan and track a successful Extreme Programming project. The key XP philosophy: Planning is not a one-time event, but a constant process of reevaluation and course-correction throughout the lifecycle of the project. Students will learn how planning is essential to controlling workload, reducing programmer stress, increasing productivity, and keeping projects on track. Planning Extreme Programming also focuses on the importance of estimating the cost and time for each user story (requirement), determining its priority, and planning software releases accordingly.","Computers / Software Development & Engineering / General","2012-12-07 02:00:45","0","0000-00-00","2012-12-22 02:40:58","89eba2d3622fee8d7f800898edf7ba47",
